geo_name,geo_sumlevel,geo_id,adult_obesity_2015,adult_obesity_2016,adult_obesity_2017
"Autauga County, AL","county",05000US01001,0.313,0.309,0.341
"Baldwin County, AL","county",05000US01003,0.25,0.267,0.274
"Barbour County, AL","county",05000US01005,0.384,0.408,0.444
"Bibb County, AL","county",05000US01007,0.373,0.401,0.403
"Blount County, AL","county",05000US01009,0.309,0.324,0.346
"Bullock County, AL","county",05000US01011,0.432,0.445,0.43
"Butler County, AL","county",05000US01013,0.384,0.36,0.363
"Calhoun County, AL","county",05000US01015,0.315,0.32,0.322
"Chambers County, AL","county",05000US01017,0.397,0.398,0.397
"Cherokee County, AL","county",05000US01019,0.303,0.327,0.336
"Chilton County, AL","county",05000US01021,0.37,0.371,0.359
"Choctaw County, AL","county",05000US01023,0.402,0.387,0.408
"Clarke County, AL","county",05000US01025,0.352,0.361,0.382
"Clay County, AL","county",05000US01027,0.374,0.377,0.373
"Cleburne County, AL","county",05000US01029,0.304,0.3,0.3
"Coffee County, AL","county",05000US01031,0.285,0.302,0.337
"Colbert County, AL","county",05000US01033,0.339,0.366,0.375
"Conecuh County, AL","county",05000US01035,0.391,0.372,0.364
"Coosa County, AL","county",05000US01037,0.372,0.388,0.397
"Covington County, AL","county",05000US01039,0.323,0.316,0.34
"Crenshaw County, AL","county",05000US01041,0.371,0.366,0.397
"Cullman County, AL","county",05000US01043,0.344,0.347,0.334
"Dale County, AL","county",05000US01045,0.344,0.362,0.365
"Dallas County, AL","county",05000US01047,0.417,0.424,0.408
"DeKalb County, AL","county",05000US01049,0.321,0.306,0.304
"Elmore County, AL","county",05000US01051,0.301,0.303,0.354
"Escambia County, AL","county",05000US01053,0.383,0.394,0.377
"Etowah County, AL","county",05000US01055,0.338,0.347,0.351
"Fayette County, AL","county",05000US01057,0.363,0.324,0.337
"Franklin County, AL","county",05000US01059,0.335,0.342,0.332
"Geneva County, AL","county",05000US01061,0.345,0.347,0.341
"Greene County, AL","county",05000US01063,0.481,0.459,0.463
"Hale County, AL","county",05000US01065,0.362,0.359,0.404
"Henry County, AL","county",05000US01067,0.341,0.352,0.358
"Houston County, AL","county",05000US01069,0.329,0.336,0.328
"Jackson County, AL","county",05000US01071,0.29,0.306,0.32
"Jefferson County, AL","county",05000US01073,0.329,0.337,0.332
"Lamar County, AL","county",05000US01075,0.328,0.325,0.336
"Lauderdale County, AL","county",05000US01077,0.312,0.316,0.329
"Lawrence County, AL","county",05000US01079,0.386,0.363,0.355
"Lee County, AL","county",05000US01081,0.3,0.295,0.29
"Limestone County, AL","county",05000US01083,0.334,0.335,0.329
"Lowndes County, AL","county",05000US01085,0.437,0.464,0.451
"Macon County, AL","county",05000US01087,0.417,0.424,0.447
"Madison County, AL","county",05000US01089,0.306,0.312,0.323
"Marengo County, AL","county",05000US01091,0.423,0.413,0.403
"Marion County, AL","county",05000US01093,0.341,0.349,0.355
"Marshall County, AL","county",05000US01095,0.339,0.35,0.332
"Mobile County, AL","county",05000US01097,0.359,0.361,0.371
"Monroe County, AL","county",05000US01099,0.363,0.372,0.353
"Montgomery County, AL","county",05000US01101,0.346,0.336,0.348
"Morgan County, AL","county",05000US01103,0.302,0.322,0.316
"Perry County, AL","county",05000US01105,0.387,0.378,0.43
"Pickens County, AL","county",05000US01107,0.401,0.374,0.364
"Pike County, AL","county",05000US01109,0.353,0.341,0.384
"Randolph County, AL","county",05000US01111,0.341,0.332,0.309
"Russell County, AL","county",05000US01113,0.342,0.348,0.364
"St. Clair County, AL","county",05000US01115,0.317,0.331,0.33
"Shelby County, AL","county",05000US01117,0.315,0.313,0.301
"Sumter County, AL","county",05000US01119,0.404,0.396,0.403
"Talladega County, AL","county",05000US01121,0.38,0.376,0.39
"Tallapoosa County, AL","county",05000US01123,0.356,0.365,0.369
"Tuscaloosa County, AL","county",05000US01125,0.329,0.327,0.343
"Walker County, AL","county",05000US01127,0.334,0.329,0.332
"Washington County, AL","county",05000US01129,0.361,0.36,0.402
"Wilcox County, AL","county",05000US01131,0.428,0.444,0.449
"Winston County, AL","county",05000US01133,0.334,0.287,0.302
"Aleutians East Borough, AK","county",05000US02013,0.323,0.311,0.334
"Aleutians West Census Area, AK","county",05000US02016,0.329,0.362,0.394
"Anchorage Municipality, AK","county",05000US02020,0.268,0.27,0.27
"Bethel Census Area, AK","county",05000US02050,0.324,0.316,0.303
"Bristol Bay Borough, AK","county",05000US02060,0.331,0.341,0.397
"Denali Borough, AK","county",05000US02068,0.236,0.247,0.27
"Dillingham Census Area, AK","county",05000US02070,0.316,0.353,0.38
"Fairbanks North Star Borough, AK","county",05000US02090,0.285,0.286,0.281
"Haines Borough, AK","county",05000US02100,0.284,0.265,0.255
"Juneau City and Borough, AK","county",05000US02110,0.269,0.27,0.286
"Kenai Peninsula Borough, AK","county",05000US02122,0.275,0.28,0.284
"Ketchikan Gateway Borough, AK","county",05000US02130,0.28,0.293,0.308
"Kodiak Island Borough, AK","county",05000US02150,0.315,0.293,0.302
"Lake and Peninsula Borough, AK","county",05000US02164,0.326,0.324,0.319
"Matanuska-Susitna Borough, AK","county",05000US02170,0.298,0.289,0.302
"Nome Census Area, AK","county",05000US02180,0.341,0.333,0.317
"North Slope Borough, AK","county",05000US02185,0.342,0.353,0.365
"Northwest Arctic Borough, AK","county",05000US02188,0.297,0.325,0.324
,,05000US02201,0.355,0.353,
"Sitka City and Borough, AK","county",05000US02220,0.288,0.27,0.287
,,05000US02232,0.309,0.312,
"Southeast Fairbanks Census Area, AK","county",05000US02240,0.325,0.33,0.331
"Valdez-Cordova Census Area, AK","county",05000US02261,0.297,0.304,0.304
