geo_name,geo_sumlevel,geo_id,social_associations_2015,social_associations_2016,social_associations_2017
"Autauga County, AL","county",05000US01001,13.15,13.757,13.72
"Baldwin County, AL","county",05000US01003,11.636,12.018,11.544
"Barbour County, AL","county",05000US01005,8.456,8.125,8.182
"Bibb County, AL","county",05000US01007,10.621,9.773,10.219
"Blount County, AL","county",05000US01009,8.647,8.467,8.489
"Bullock County, AL","county",05000US01011,11.457,10.339,10.219
"Butler County, AL","county",05000US01013,11.819,11.35,11.825
"Calhoun County, AL","county",05000US01015,14.749,14.22,14.666
"Chambers County, AL","county",05000US01017,18.495,18.149,18.488
"Cherokee County, AL","county",05000US01019,9.223,9.541,9.986
"Chilton County, AL","county",05000US01021,15.062,15.017,15.934
"Choctaw County, AL","county",05000US01023,19.071,20.855,21.016
"Clarke County, AL","county",05000US01025,17.885,17.852,19.643
"Clay County, AL","county",05000US01027,8.932,9.64,9.593
"Cleburne County, AL","county",05000US01029,8.765,9.337,8.621
"Coffee County, AL","county",05000US01031,15.804,15.509,15.911
"Colbert County, AL","county",05000US01033,17.999,17.425,17.601
"Conecuh County, AL","county",05000US01035,11.555,10.864,11.05
"Coosa County, AL","county",05000US01037,10.943,11.011,11.023
"Covington County, AL","county",05000US01039,12.383,12.934,12.66
"Crenshaw County, AL","county",05000US01041,11.361,11.44,10.732
"Cullman County, AL","county",05000US01043,12.68,12.622,12.179
"Dale County, AL","county",05000US01045,12.291,12.629,12.327
"Dallas County, AL","county",05000US01047,13.531,13.573,14.385
"DeKalb County, AL","county",05000US01049,9.426,8.872,8.584
"Elmore County, AL","county",05000US01051,10.046,10.383,10.373
"Escambia County, AL","county",05000US01053,15.002,14.48,14.841
"Etowah County, AL","county",05000US01055,15.806,16.453,16.227
"Fayette County, AL","county",05000US01057,11.776,10.645,11.26
"Franklin County, AL","county",05000US01059,10.075,10.148,10.443
"Geneva County, AL","county",05000US01061,8.912,10.476,9.359
