geo_name,geo_sumlevel,geo_id,population_that_is_not_proficient_in_english_2015,population_that_is_not_proficient_in_english_2016,population_that_is_not_proficient_in_english_2017
"Autauga County, AL","county",05000US01001,0.005,0.005,0.007
"Baldwin County, AL","county",05000US01003,0.016,0.014,0.012
"Barbour County, AL","county",05000US01005,0.022,0.022,0.018
"Bibb County, AL","county",05000US01007,0.004,0.005,0.004
"Blount County, AL","county",05000US01009,0.023,0.018,0.017
"Bullock County, AL","county",05000US01011,0.037,0.026,0.031
"Butler County, AL","county",05000US01013,0.002,0.004,0.005
"Calhoun County, AL","county",05000US01015,0.008,0.008,0.008
"Chambers County, AL","county",05000US01017,0.003,0.002,0.002
"Cherokee County, AL","county",05000US01019,0.001,0.001,0.001
"Chilton County, AL","county",05000US01021,0.021,0.028,0.025
"Choctaw County, AL","county",05000US01023,0,0,0
"Clarke County, AL","county",05000US01025,0.001,0.002,0.002
"Clay County, AL","county",05000US01027,0.011,0.009,0.008
"Cleburne County, AL","county",05000US01029,0.006,0.001,0.006
"Coffee County, AL","county",05000US01031,0.023,0.022,0.017
"Colbert County, AL","county",05000US01033,0.007,0.004,0.004
"Conecuh County, AL","county",05000US01035,0.005,0.003,0.003
"Coosa County, AL","county",05000US01037,0.006,0.007,0.006
"Covington County, AL","county",05000US01039,0.006,0.007,0.007
"Crenshaw County, AL","county",05000US01041,0.012,0.009,0.008
"Cullman County, AL","county",05000US01043,0.013,0.01,0.009
"Dale County, AL","county",05000US01045,0.013,0.007,0.01
"Dallas County, AL","county",05000US01047,0.002,0.001,0.001
"DeKalb County, AL","county",05000US01049,0.04,0.045,0.037
"Elmore County, AL","county",05000US01051,0.01,0.009,0.009
"Escambia County, AL","county",05000US01053,0.002,0.002,0.002
"Etowah County, AL","county",05000US01055,0.013,0.011,0.014
"Fayette County, AL","county",05000US01057,0.001,0.001,0.001
"Franklin County, AL","county",05000US01059,0.06,0.065,0.048
"Geneva County, AL","county",05000US01061,0.011,0.012,0.019
"Greene County, AL","county",05000US01063,0.001,0.001,0
"Hale County, AL","county",05000US01065,0.004,0.005,0.005
"Henry County, AL","county",05000US01067,0.011,0.011,0.006
"Houston County, AL","county",05000US01069,0.008,0.008,0.007
"Jackson County, AL","county",05000US01071,0.005,0.007,0.005
"Jefferson County, AL","county",05000US01073,0.016,0.015,0.014
"Lamar County, AL","county",05000US01075,0.004,0.006,0.004
"Lauderdale County, AL","county",05000US01077,0.009,0.008,0.006
"Lawrence County, AL","county",05000US01079,0.003,0.001,0.002
"Lee County, AL","county",05000US01081,0.017,0.017,0.016
"Limestone County, AL","county",05000US01083,0.017,0.015,0.014
"Lowndes County, AL","county",05000US01085,0.002,0,0
"Macon County, AL","county",05000US01087,0.005,0.006,0.007
"Madison County, AL","county",05000US01089,0.013,0.013,0.013
"Marengo County, AL","county",05000US01091,0.002,0.002,0.001
"Marion County, AL","county",05000US01093,0.003,0.004,0.002
"Marshall County, AL","county",05000US01095,0.058,0.049,0.048
"Mobile County, AL","county",05000US01097,0.011,0.009,0.008
"Monroe County, AL","county",05000US01099,0,0,0.001
"Montgomery County, AL","county",05000US01101,0.019,0.017,0.017
"Morgan County, AL","county",05000US01103,0.028,0.023,0.023
"Perry County, AL","county",05000US01105,0.004,0.006,0.004
"Pickens County, AL","county",05000US01107,0.008,0.004,0.006
"Pike County, AL","county",05000US01109,0.011,0.011,0.013
"Randolph County, AL","county",05000US01111,0.004,0.002,0.003
"Russell County, AL","county",05000US01113,0.007,0.007,0.008
"St. Clair County, AL","county",05000US01115,0.006,0.006,0.007
"Shelby County, AL","county",05000US01117,0.02,0.02,0.018
"Sumter County, AL","county",05000US01119,0.006,0.006,0.006
"Talladega County, AL","county",05000US01121,0.005,0.006,0.006
"Tallapoosa County, AL","county",05000US01123,0.008,0.005,0.004
"Tuscaloosa County, AL","county",05000US01125,0.013,0.011,0.01
"Walker County, AL","county",05000US01127,0.006,0.006,0.007
"Washington County, AL","county",05000US01129,0.003,0.003,0.005
"Wilcox County, AL","county",05000US01131,0,0.001,0.001
"Winston County, AL","county",05000US01133,0.007,0.008,0.007
"Aleutians East Borough, AK","county",05000US02013,0.173,0.133,0.122
"Aleutians West Census Area, AK","county",05000US02016,0.08,0.091,0.065
"Anchorage Municipality, AK","county",05000US02020,0.023,0.024,0.023
"Bethel Census Area, AK","county",05000US02050,0.04,0.034,0.031
"Bristol Bay Borough, AK","county",05000US02060,0,0,0
"Denali Borough, AK","county",05000US02068,0.029,0.031,0
"Dillingham Census Area, AK","county",05000US02070,0.042,0.031,0.017
"Fairbanks North Star Borough, AK","county",05000US02090,0.011,0.011,0.007
"Haines Borough, AK","county",05000US02100,0.003,0.003,0.005
"Juneau City and Borough, AK","county",05000US02110,0.011,0.013,0.013
"Kenai Peninsula Borough, AK","county",05000US02122,0.003,0.002,0.006
"Ketchikan Gateway Borough, AK","county",05000US02130,0.006,0.006,0.008
"Kodiak Island Borough, AK","county",05000US02150,0.034,0.027,0.038
"Lake and Peninsula Borough, AK","county",05000US02164,0.009,0.01,0.006
"Matanuska-Susitna Borough, AK","county",05000US02170,0.006,0.006,0.006
"Nome Census Area, AK","county",05000US02180,0.011,0.01,0.009
"North Slope Borough, AK","county",05000US02185,0.019,0.014,0.009
"Northwest Arctic Borough, AK","county",05000US02188,0.01,0.008,0.006
,,05000US02201,0.001,0.001,
"Sitka City and Borough, AK","county",05000US02220,0.019,0.023,0.023
,,05000US02232,0.004,0.002,
"Southeast Fairbanks Census Area, AK","county",05000US02240,0.02,0.012,0.026
"Valdez-Cordova Census Area, AK","county",05000US02261,0.014,0.016,0.018
"Wade Hampton Census Area, AK","county",05000US02270,0.016,0.014,
,,05000US02280,0.008,0.015,
"Yakutat City and Borough, AK","county",05000US02282,0.016,0.013,0.012
"Yukon-Koyukuk Census Area, AK","county",05000US02290,0.006,0.005,0.002
"Apache County, AZ","county",05000US04001,0.051,0.051,0.051
"Cochise County, AZ","county",05000US04003,0.048,0.05,0.049
"Coconino County, AZ","county",05000US04005,0.031,0.029,0.026
"Gila County, AZ","county",05000US04007,0.012,0.016,0.017
"Graham County, AZ","county",05000US04009,0.037,0.03,0.03
"Greenlee County, AZ","county",05000US04011,0.017,0.023,0.019
"La Paz County, AZ","county",05000US04012,0.067,0.052,0.059
"Maricopa County, AZ","county",05000US04013,0.057,0.056,0.055
"Mohave County, AZ","county",05000US04015,0.02,0.022,0.02
"Navajo County, AZ","county",05000US04017,0.044,0.043,0.042
"Pima County, AZ","county",05000US04019,0.043,0.042,0.042
"Pinal County, AZ","county",05000US04021,0.036,0.036,0.036
"Santa Cruz County, AZ","county",05000US04023,0.184,0.16,0.133
"Yavapai County, AZ","county",05000US04025,0.02,0.02,0.019
"Yuma County, AZ","county",05000US04027,0.147,0.148,0.149
"Arkansas County, AR","county",05000US05001,0.006,0.008,0.007
"Ashley County, AR","county",05000US05003,0.01,0.011,0.011
"Baxter County, AR","county",05000US05005,0.003,0.003,0.004
"Benton County, AR","county",05000US05007,0.039,0.035,0.034
"Boone County, AR","county",05000US05009,0.001,0.001,0
"Bradley County, AR","county",05000US05011,0.026,0.027,0.036
"Calhoun County, AR","county",05000US05013,0,0,0
"Carroll County, AR","county",05000US05015,0.035,0.041,0.047
"Chicot County, AR","county",05000US05017,0.007,0.007,0.008
"Clark County, AR","county",05000US05019,0.006,0.006,0.005
"Clay County, AR","county",05000US05021,0.005,0.005,0.005
"Cleburne County, AR","county",05000US05023,0.006,0.005,0.002
"Cleveland County, AR","county",05000US05025,0.002,0.002,0.006
"Columbia County, AR","county",05000US05027,0.002,0.004,0.005
"Conway County, AR","county",05000US05029,0.008,0.006,0.009
"Craighead County, AR","county",05000US05031,0.01,0.008,0.009
"Crawford County, AR","county",05000US05033,0.019,0.017,0.016
"Crittenden County, AR","county",05000US05035,0.004,0.002,0.002
"Cross County, AR","county",05000US05037,0.002,0.002,0.002
"Dallas County, AR","county",05000US05039,0.009,0.009,0.009
"Desha County, AR","county",05000US05041,0.015,0.015,0.015
"Drew County, AR","county",05000US05043,0.009,0.006,0.004
"Faulkner County, AR","county",05000US05045,0.007,0.006,0.006
"Franklin County, AR","county",05000US05047,0.001,0.003,0.005
"Fulton County, AR","county",05000US05049,0.001,0.002,0.002
"Garland County, AR","county",05000US05051,0.01,0.01,0.009
"Grant County, AR","county",05000US05053,0.007,0.002,0.002
"Greene County, AR","county",05000US05055,0.001,0.001,0.002
"Hempstead County, AR","county",05000US05057,0.036,0.044,0.044
"Hot Spring County, AR","county",05000US05059,0.004,0.005,0.004
"Howard County, AR","county",05000US05061,0.036,0.038,0.039
"Independence County, AR","county",05000US05063,0.014,0.016,0.019
"Izard County, AR","county",05000US05065,0.001,0.001,0
"Jackson County, AR","county",05000US05067,0.001,0.001,0.002
"Jefferson County, AR","county",05000US05069,0.004,0.003,0.004
"Johnson County, AR","county",05000US05071,0.02,0.025,0.021
"Lafayette County, AR","county",05000US05073,0.006,0.003,0
"Lawrence County, AR","county",05000US05075,0,0.001,0.001
"Lee County, AR","county",05000US05077,0.003,0.004,0.005
"Lincoln County, AR","county",05000US05079,0.007,0.001,0.004
"Little River County, AR","county",05000US05081,0.001,0,0.001
"Logan County, AR","county",05000US05083,0.008,0.012,0.012
"Lonoke County, AR","county",05000US05085,0.006,0.005,0.005
"Madison County, AR","county",05000US05087,0.009,0.012,0.016
"Marion County, AR","county",05000US05089,0.001,0.001,0.001
"Miller County, AR","county",05000US05091,0.003,0,0.002
"Mississippi County, AR","county",05000US05093,0.006,0.005,0.007
